linkId,text,type,options
1,你在運動時是否感到任何不適？,boolean,
2,你是否曾經在運動時感到頭暈或暈厥？,boolean,
3,平常習慣的運動是甚麼？,string,
4,你每週運動幾次？,choice,"一次,兩次,三次,四次,五次"
5,你通常在哪些時間運動？,choice,"早上,下午,晚上"
6,你參加過哪些運動項目？,multiple,"跑步,游泳,健身,瑜伽"
7,你每次運動的時間是多久？(分鐘),integer,
8,你最近一次運動的日期是什麼時候？,date,
9,你通常在什麼時間開始運動？,time,
10,你對目前的運動計劃有什麼建議？,text,
11,你對這次運動的滿意度（1-5分）？,range,"1,2,3,4,5"
12,請上傳你的運動計劃文件（若有）。,file,
13,你通常在哪裡運動？,location,
14,請留下你的聯繫電話以便追蹤調查。,contact,
15,你對運動有什麼特別的目標？,text,
16,最近一次運動持續了多長時間？(分鐘),integer,
17,你對目前的運動環境滿意嗎？（1-10分）,range,"1,2,3,4,5,6,7,8,9,10"
